,bw
2720,1213.4791
2727,1449.1232
2734,1373.4742
2741,1373.4742
2748,1505.2009
2755,1456.533
2762,1456.533
2769,1467.0197
2776,1478.8805
2783,1478.8805
2790,1409.2286
2797,1353.3827
2804,1353.3827
2811,1407.5967
2818,1392.5424
2825,1392.5424
2832,1386.7894
2839,1422.6531
2846,1422.6531
2853,1395.9763
2860,1387.6777
2867,1387.6777
2874,1356.0966
2881,1350.8972
2888,1350.8972
2895,1345.2311
2902,1419.8859
2909,1419.8859
2916,1394.5922
2923,1375.5016
2930,1375.5016
2937,1385.3519
2944,1431.1965
2951,1431.1965
2958,1444.0565
2965,1399.7262
2972,1399.7262
2979,1362.6437
2986,1409.8549
2993,1409.8549
3000,1440.4457
3007,1397.6295
3014,1364.5576
3021,1377.8268
3028,1377.8268
3035,1344.7173
3042,1323.1788
3049,1323.1788
3056,1346.4515
3063,1341.3842
3070,1341.3842
3077,1385.6063
3084,1376.8943
3091,1376.8943
3098,1396.7372
3105,1392.4177
3112,1392.4177
3119,1401.558
3126,1346.0851
3133,1346.0851
3140,1323.3186
3147,1326.7789
3154,1345.3470000000002
3161,1345.3470000000002
3168,1296.0377
3175,1317.2395
3182,1317.2395
3189,1307.4669
3196,1319.1615
3203,1319.1615
3210,1311.8701
3217,1306.6842
3224,1306.6842
3231,1437.0242
3238,1450.0332
3245,1450.0332
3252,1501.499
3259,1498.3951
3266,1498.3951
3273,1477.5563
3280,1462.6914
3287,1462.6914
3294,1493.8246
3301,1502.4507
3308,1502.4507
3315,1518.8102
3322,1478.9342
3329,1478.9342
3336,1453.4579999999999
3343,1452.3088
3350,1452.3088
3357,1464.2579
3364,1475.4496
3371,1475.4496
3378,1491.969
3385,1500.8915
3392,1500.8915
3399,1510.5895
3406,1457.9374
3413,1457.9374
3420,1516.6874
3427,1522.5116
3434,1522.5116
3441,1518.2924
3448,1509.5049
3455,1509.5049
3462,1479.4509
3469,1515.6116
3476,1515.6116
3483,1534.0768
3490,1537.4379999999999
3497,1537.4379999999999
3504,1530.8108
3511,1449.8683
3518,1449.8683
3525,1482.3083
3532,1565.8882
3539,1579.2477
3546,1579.2477
3553,1583.247
3560,1586.3558
3567,1586.3558
3574,1598.5258
3581,1593.411
3588,1593.411
3595,1533.8829
3602,1509.7689
3609,1509.7689
3616,1497.6287
3623,1498.4694
3630,1498.4694
3637,1468.3677
3644,1517.0337
3651,1517.0337
3658,1583.6848
3665,1562.4387
3672,1562.4387
3679,1585.5510000000002
3686,1601.2899
3693,1601.2899
3700,1640.4783
3707,1594.6123
3714,1594.6123
3721,1629.3657
3728,1612.4966
3735,1612.4966
3742,1653.5878
3749,1626.4103
3756,1626.4103
3763,1621.263
3770,1561.8159
3777,1561.8159
3784,1611.0358
3791,1609.1070000000002
3798,1609.1070000000002
3805,1624.0851
3812,1653.0499
3819,1653.0499
3826,1697.7482
3833,1708.4175
3840,1708.4175
3847,1725.2874
3854,1662.5454
3861,1662.5454
3868,1740.7060000000001
3875,1746.9647
3882,1746.9647
3889,1732.0768
3896,1718.4531
3903,1718.4531
3910,1756.1866
3917,1740.1927
3924,1740.1927
3931,1704.6396
3938,1698.1298
3945,1698.1298
3952,1737.0619
3959,1666.8077
3966,1594.0068
3973,1594.0068
3980,1564.5687
3987,1597.3654
3994,1597.3654
4001,1568.2823
4008,1551.0492
4015,1551.0492
4022,1586.1865
4029,1631.1068
4036,1631.1068
4043,1597.9021
4050,1653.6332
4057,1653.6332
4064,1606.0663
4071,1630.9507
4078,1630.9507
4085,1695.7847
4092,1707.0354
4099,1707.0354
4106,1677.7175
4113,1707.0076
4120,1707.0076
4127,1690.9237
4134,1644.5945
4141,1644.5945
4148,1752.29
4155,1732.5261
4162,1732.5261
4169,1770.4978
4176,1718.9341
4183,1718.9341
4190,1702.2812
4197,1735.0543
4204,1735.0543
4211,1750.6946
4218,1747.4308
